UT (Unique WOS ID),Publication Year,topic_bertopic,topic_lda,topic_nmf,topic_kmeans
WOS:000950037600001,2024,58,23,39,25
WOS:000698640900013,2021,53,38,76,40
WOS:001634892200012,2025,67,52,68,23
WOS:001502893600001,2025,26,52,41,8
WOS:000916041300018,2023,14,52,71,47
WOS:000716102800001,2021,13,52,51,7
WOS:000543712100053,2020,26,38,4,8
WOS:000509850500001,2021,-1,77,3,46
WOS:001598702600001,2025,84,52,47,26
WOS:001582538300004,2025,17,52,26,78
WOS:000790252900001,2022,23,52,34,7
WOS:000589695200006,2020,30,52,19,24
WOS:000787210200001,2023,30,52,19,24
WOS:001110823700001,2023,29,52,68,67
WOS:001483188000045,2025,6,52,43,23
WOS:000533415100001,2020,2,52,6,22
WOS:000555684400002,2020,40,52,74,40
WOS:000978865600001,2023,-1,38,74,56
WOS:001511528200001,2025,32,52,55,67
WOS:000768410900001,2022,31,52,5,67
WOS:001490467800001,2025,-1,52,78,56
WOS:000784713500001,2022,-1,52,74,53
WOS:001105144000001,2023,27,52,45,65
WOS:000733985600023,2021,-1,77,74,32
WOS:000545357200002,2020,-1,52,71,40
WOS:001015938000001,2023,18,52,50,59
WOS:000760764100001,2022,-1,52,69,40
WOS:001498810800004,2025,53,52,6,0
WOS:000807308800001,2022,80,38,43,4
WOS:001101842600001,2024,2,52,6,22
WOS:000849553100001,2023,12,52,74,36
WOS:000611216900010,2021,61,52,73,48
WOS:001502161500002,2025,26,52,41,8
WOS:001271434600002,2024,-1,38,76,53
WOS:000556862800006,2020,4,52,3,46
WOS:000763385400001,2022,30,52,74,0
WOS:001002979400001,2023,44,77,61,15
WOS:000786590500001,2023,19,38,1,29
WOS:001204510100004,2024,13,52,47,26
WOS:000560608400005,2020,6,52,43,23
WOS:001221046300001,2024,-1,52,74,62
WOS:001127666800001,2024,17,52,56,78
WOS:000576064300001,2020,88,52,56,4
WOS:001073849600001,2023,-1,52,73,59
WOS:000630949600001,2021,2,52,6,22
WOS:000508769800013,2020,2,52,47,26
WOS:000830739500001,2023,-1,38,77,29
WOS:001442898400018,2025,87,52,71,38
WOS:000746367100001,2022,50,52,4,77
WOS:000871404000004,2020,43,52,74,75
WOS:001238016000001,2024,28,52,7,57
WOS:001020601900001,2023,13,77,51,56
WOS:000896732800001,2023,92,23,59,73
WOS:000528206800023,2020,65,52,69,59
WOS:000822076200001,2024,67,52,6,0
WOS:001087371600001,2024,13,52,51,37
WOS:000895911600001,2023,36,77,31,42
WOS:001566983000001,2025,-1,38,55,79
WOS:001111270300001,2023,37,77,74,51
WOS:000551300300001,2020,30,52,19,24
WOS:001330277800001,2024,60,23,69,0
WOS:001253489400001,2024,-1,52,68,47
WOS:000932140700001,2023,58,23,39,25
WOS:001481406600001,2025,53,77,74,65
WOS:001555450300001,2025,90,38,58,12
WOS:000498315600010,2020,18,52,6,59
WOS:001446536300001,2025,58,52,73,25
WOS:000983836500009,2023,23,78,47,76
WOS:001488842000001,2025,65,52,56,59
WOS:001619871100001,2025,-1,52,54,20
WOS:000962016400003,2023,104,38,74,15
WOS:000588681100001,2020,25,52,19,24
WOS:000816118800001,2022,13,52,68,7
WOS:000691630800001,2023,96,52,79,62
WOS:001412098600001,2025,28,78,7,57
WOS:001059146800001,2023,96,15,26,27
WOS:000684357300001,2022,-1,52,74,56
WOS:000511557200001,2020,99,38,70,65
WOS:001570973300001,2025,74,23,13,18
WOS:000759818700001,2022,46,52,60,38
WOS:001105414200001,2023,21,52,5,67
WOS:000807061500001,2023,44,38,61,39
WOS:000668052100001,2022,39,52,48,56
WOS:001356853800001,2025,84,52,47,26
WOS:000878629700008,2022,-1,52,40,49
WOS:000846679800002,2022,78,52,38,62
WOS:001511795700001,2025,77,38,71,6
WOS:001021115800001,2023,37,52,71,56
WOS:000871164200004,2023,1,38,4,11
WOS:000618463800001,2022,26,38,41,8
