paradigm,bertopic_id,other_id,jaccard
kmeans,11,18,0.35
kmeans,12,36,0.5882352941176471
kmeans,13,31,0.038461538461538464
kmeans,14,65,0.0
kmeans,15,66,0.5882352941176471
kmeans,16,58,0.17391304347826086
kmeans,17,27,0.125
kmeans,18,59,0.22727272727272727
kmeans,19,29,0.2857142857142857
kmeans,20,69,0.35
kmeans,21,72,0.2857142857142857
kmeans,22,32,0.17391304347826086
kmeans,23,76,0.35
kmeans,24,52,0.35
kmeans,25,12,0.2857142857142857
kmeans,26,8,0.5882352941176471
kmeans,27,70,0.42105263157894735
kmeans,28,57,0.42105263157894735
kmeans,29,47,0.5
kmeans,30,24,0.42105263157894735
kmeans,31,67,0.2857142857142857
kmeans,32,14,0.5882352941176471
kmeans,33,16,0.42105263157894735
kmeans,34,39,0.0
kmeans,35,13,0.2857142857142857
kmeans,36,10,0.22727272727272727
kmeans,37,75,0.0
kmeans,38,54,0.2857142857142857
kmeans,39,56,0.35
kmeans,40,40,0.125
kmeans,41,20,0.2857142857142857
kmeans,42,43,0.08
kmeans,43,21,0.125
kmeans,44,15,0.125
kmeans,45,33,0.2857142857142857
kmeans,46,38,0.08
kmeans,47,28,0.0
kmeans,48,61,0.125
kmeans,50,42,0.2857142857142857
kmeans,51,60,0.17391304347826086
kmeans,52,19,0.08
kmeans,54,78,0.038461538461538464
kmeans,55,7,0.08
kmeans,56,4,0.038461538461538464
kmeans,58,25,0.5
kmeans,59,2,0.2857142857142857
kmeans,60,53,0.08
kmeans,61,48,0.038461538461538464
kmeans,63,49,0.5
kmeans,67,63,0.038461538461538464
kmeans,68,64,0.17391304347826086
kmeans,69,34,0.038461538461538464
kmeans,71,44,0.17391304347826086
kmeans,72,46,0.038461538461538464
kmeans,74,37,0.42105263157894735
kmeans,77,6,0.2857142857142857
kmeans,78,62,0.08
kmeans,79,74,0.08
kmeans,80,71,0.17391304347826086
kmeans,82,22,0.08
kmeans,83,77,0.038461538461538464
kmeans,84,26,0.2857142857142857
kmeans,86,41,0.17391304347826086
kmeans,90,45,0.038461538461538464
kmeans,92,73,0.2857142857142857
kmeans,94,0,0.08
kmeans,96,79,0.08
kmeans,100,55,0.125
kmeans,103,35,0.6875
