source,target,weight
65,87,0.7357882261276245
65,92,0.676023542881012
65,93,0.6165249347686768
65,96,0.6038843989372253
65,99,0.4947376251220703
66,83,0.6015860438346863
67,93,0.5448347926139832
67,96,0.5910214185714722
68,74,0.7489768266677856
68,81,0.3829687237739563
68,104,0.5701041221618652
69,75,0.5027216672897339
69,95,0.5260552763938904
69,98,0.4731241464614868
70,73,0.5977062582969666
70,75,0.5696524381637573
70,76,0.6803508996963501
70,85,0.587961733341217
70,100,0.4619009494781494
71,80,0.5317401885986328
71,101,0.4739573001861572
72,80,0.5270009636878967
72,89,0.5515825152397156
72,91,0.35957202315330505
72,101,0.5285532474517822
73,75,0.7851388454437256
73,76,0.6118309497833252
73,95,0.6518528461456299
73,97,0.6489230990409851
73,101,0.7244172096252441
73,102,0.439499169588089
73,103,0.6608973145484924
73,104,0.6753014922142029
74,90,0.46193239092826843
74,94,0.5815734267234802
75,76,0.5748390555381775
75,83,0.6898097395896912
75,89,0.5595020651817322
75,91,0.35192686319351196
75,95,0.7333053350448608
75,99,0.48610204458236694
75,101,0.7745151519775391
75,103,0.6572600603103638
76,82,0.5658290386199951
78,97,0.5406311750411987
80,85,0.4769466519355774
80,89,0.5162702202796936
81,83,0.3563758134841919
81,85,0.3747501075267792
83,103,0.6030563116073608
83,104,0.6610053777694702
84,92,0.6271567344665527
84,94,0.6419973969459534
84,102,0.5146651864051819
87,92,0.594009518623352
87,93,0.49744126200675964
89,101,0.5928425192832947
89,104,0.5792098641395569
90,94,0.5670725107192993
91,104,0.3647215664386749
94,102,0.5224459171295166
95,98,0.4631892442703247
95,101,0.6463620066642761
96,99,0.4925645589828491
96,101,0.5920706391334534
99,101,0.49217140674591064
101,104,0.722151517868042
103,104,0.5955240726470947
