UT,Publication Year,Document Type,lda_topic,lda_probability
WOS:000953539800001,2023,Article,12,0.47066999942122145
WOS:000662934100008,2021,Article,17,0.7890221083647564
WOS:000854461300001,2023,Article,29,0.3772633016438563
WOS:000932683000001,2023,Article,28,0.3562828154197484
WOS:000718866100001,2021,Article,8,0.21421334096127886
WOS:000565420400001,2021,Article,11,0.3010292770127891
WOS:000526378000008,2020,Article,16,0.5074915211571357
WOS:000754612600008,2021,Article,12,0.2924643619730632
WOS:000682788300001,2021,Article,13,0.29293333222794427
WOS:001548951300001,2025,Article,25,0.3807775335973967
WOS:000814552000001,2022,Article,6,0.796677384099362
WOS:001599304000001,2025,Article,5,0.6146523428347319
WOS:000871475400001,2022,Article,29,0.2702532515103559
WOS:001018218200001,2023,Article,4,0.4717944701544746
WOS:000533918600001,2022,Article,16,0.4390352239943092
WOS:000849611100001,2023,Article,28,0.5240690365721935
WOS:000585079000005,2020,Article,29,0.3656356680656816
WOS:000663332600002,2021,Article,2,0.7312259143057808
WOS:000791825400007,2022,Article,19,0.6647163551974865
WOS:000993845400012,2023,Article,30,0.3621966438568349
WOS:000682975700009,2021,Article,20,0.5201535417745491
WOS:001618559000001,2025,Article,1,0.2149733199455648
WOS:000532987500001,2020,Article,21,0.357705802810333
WOS:000520951800009,2020,Article,5,0.21731496397840044
WOS:000737749400001,2022,Article,5,0.33652497647039564
WOS:001066956900001,2023,Article,4,0.5706243182245473
WOS:000894270300001,2022,Article,5,0.9289396980540517
WOS:000523926500001,2020,Article,24,0.5065225885529316
WOS:001020387800001,2023,Article,25,0.3318860152182591
WOS:001236826900003,2024,Article,24,0.8044416288762668
WOS:000981790600001,2024,Article,9,0.2673154696480005
WOS:000528166800008,2020,Article,1,0.7243543950191116
WOS:001002297400001,2023,Article,18,0.6850988594560921
WOS:001457999500001,2025,Article,11,0.5685945587157917
WOS:000516543700008,2020,Article,4,0.34323949105558843
WOS:001190047600001,2024,Article,31,0.8123563443279722
WOS:001187302800001,2024,Article,3,0.36411514557007085
WOS:001199608000001,2024,Article,25,0.24297936572249784
WOS:001006797300001,2023,Article,27,0.38111872226554266
WOS:001382835900001,2024,Article,28,0.3581108584913994
WOS:001053828900001,2023,Article,18,0.5365242689606223
WOS:001426325600001,2025,Article,24,0.39541309483721676
WOS:001448934200002,2025,Article,8,0.2620871703139244
WOS:001312165600001,2024,Article,4,0.24499761722037688
WOS:001234245100001,2024,Article,14,0.45776263681014695
WOS:001058307600001,2024,Article,4,0.47059044933655597
WOS:001294552800011,2024,Article,18,0.34160770977239746
WOS:000999446000001,2023,Article,1,0.4107269514809906
WOS:001587407300002,2025,Article,3,0.7279157533330863
WOS:000987474800001,2022,Article,23,0.20168405519467025
WOS:000960870500002,2022,Article,5,0.5450109356093131
WOS:000554448400001,2021,Article,31,0.3085495913512527
WOS:000539955400001,2021,Article,13,0.3590857728127637
WOS:001347793400001,2025,Article,8,0.36370607107736763
WOS:000646184900001,2021,Article; Early Access; Retracted Publication,20,0.29507723314158507
WOS:001129133100001,2024,Article,8,0.2054582627555589
WOS:000846679800007,2022,Article,24,0.3374988458323341
WOS:000949513800001,2023,Article,16,0.4386346853327952
WOS:000851575800008,2022,Article,27,0.7725529460973517
WOS:000891701200001,2022,Article,21,0.5271350872250026
WOS:000565881500026,2020,Article,4,0.44252138951051195
WOS:000906288000001,2023,Article,16,0.4036507665167819
WOS:000531519700002,2020,Article,29,0.341694070488165
WOS:000692511500001,2022,Article,1,0.39709616100386197
WOS:000885363400003,2022,Article,1,0.6085553363606183
WOS:001246377200001,2025,Article,29,0.3998781767812171
WOS:001162542800002,2023,Article,28,0.37687070498223085
WOS:001291399100001,2025,Article,19,0.2638496201679782
WOS:000685243200056,2021,Article,29,0.6933450335360603
WOS:001076808500003,2024,Article,8,0.41158083703613335
WOS:000537290700005,2020,Article,4,0.6682385887678919
WOS:001211056200001,2024,Article,1,0.5368199045234248
WOS:001043774200001,2023,Article,4,0.5929509972766771
WOS:000509079900001,2020,Article,1,0.32014443783513746
WOS:000534919100001,2020,Article,19,0.6354035446478208
WOS:001082711300001,2024,Article,3,0.3921016758895541
WOS:000606905100001,2021,Article,1,0.3222745844333258
WOS:001008650300001,2023,Article,18,0.3146815209286938
WOS:000598116900018,2020,Article,2,0.6308090810036814
WOS:001592229900001,2025,Article,4,0.3532445666712444
WOS:001187232000001,2024,Article,4,0.41821585031475117
WOS:000567027800009,2020,Article,27,0.47369481885957837
WOS:000610020200003,2021,Article,19,0.3518017340047567
WOS:000761311200002,2023,Article,16,0.4488902053148459
WOS:000798074200009,2022,Article,4,0.541798541502672
WOS:000611241000001,2021,Article,12,0.351065156185795
WOS:001581336600001,2025,Article; Early Access,30,0.4079220036103758
WOS:000836624800001,2022,Article,2,0.4156592423305277
WOS:000612356400019,2021,Article,16,0.6375466747106999
WOS:000695775300003,2023,Article,4,0.3817767685209049
