term,count_early,count_late,count_contemporary,rate_early,rate_late,burst_score,log_odds_late_vs_early
years lived with disability,0,2,2,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
functional impairment,5,8,10,1.8333333333333333,2.8333333333333335,0.43531807125784566,-0.1817833118532617
pain that limits functioning,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
deliberate self-harm (dsh),0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
orexin,0,5,5,0.16666666666666666,1.8333333333333333,2.3978952727983707,1.7807938896872626
high conflict divorce,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
father absence,1,1,4,0.5,0.5,0.0,-0.6171013831111072
els = early life stress,0,2,2,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
polychlorinated-biphenyls,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
maladaptive cognitive regulation strategies,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
service user voice,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
morbidity,8,11,17,2.8333333333333335,3.8333333333333335,0.3022808718729337,-0.31482051123817456
cold shock,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
paraphilic disorder,2,1,1,0.8333333333333334,0.5,-0.5108256237659907,-1.1279270068770977
registered nurse students,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
classroom climate,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
no-entry,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
offenders or perpetrators,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
bdnf/trkb,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
female depressive disorder adolescents,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
diptera,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
france,2,5,5,0.8333333333333334,1.8333333333333333,0.78845736036427,0.17135597725316298
trauma curriculum,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
stillbirth,2,0,0,0.8333333333333334,0.16666666666666666,-1.6094379124341005,-2.226539295545207
old age,2,1,3,0.8333333333333334,0.5,-0.5108256237659907,-1.1279270068770977
compression,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
