period,topic,count,period_total,share,display_name
P2_pandemic_transition,41,48,4806,0.009987515605493134,"Externalize, Internalize, Internalize Externalize, Externalize Problem"
P2_pandemic_transition,42,41,4806,0.008531002913025386,College students & campus prevention
P2_pandemic_transition,43,47,4806,0.009779442363712027,"Traumainformed, Traumainformed Care, Traumainformed Practice, Principle"
P2_pandemic_transition,44,52,4806,0.010819808572617561,"Elder, Mistreatment, Elderly, Financial"
P2_pandemic_transition,45,36,4806,0.00749063670411985,Adverse childhood experiences (ACE)
P2_pandemic_transition,46,40,4806,0.008322929671244279,"Perceive Social, Role Social, Support Depressive, Buffer"
P2_pandemic_transition,47,45,4806,0.009363295880149813,"Memory, False, Autobiographical, Autobiographical Memory"
P2_pandemic_transition,48,36,4806,0.00749063670411985,"Teacher, Classroom, Attitude, Learner"
P2_pandemic_transition,49,41,4806,0.008531002913025386,"Woman Experience, Reproductive, Premenstrual, Family Plan"
P2_pandemic_transition,50,37,4806,0.007698709945900957,"Trait, Personality Trait, Personality Function, Personality Pathology"
P2_pandemic_transition,51,39,4806,0.008114856429463172,"Disclosure, Disclose, Csa, Tell"
P2_pandemic_transition,52,30,4806,0.006242197253433208,"Selfesteem, Rosenberg, Rosenberg Selfesteem, Role Selfesteem"
P2_pandemic_transition,53,38,4806,0.007906783187682065,"Adverse Event, Growth, Mortality, Trajectory"
P2_pandemic_transition,54,53,4806,0.011027881814398668,"Veteran, Military, Combat, Military Veteran"
P2_pandemic_transition,55,33,4806,0.00686641697877653,"Psychotherapy, Chronic Depression, Antidepressant, Major Depression"
P2_pandemic_transition,56,48,4806,0.009987515605493134,"Polyvictimization, Victimization Experience, Type Victimization, Violent Victimization"
P2_pandemic_transition,57,30,4806,0.006242197253433208,"Young People, People Experience, Harmful, Helpseeking"
P2_pandemic_transition,58,39,4806,0.008114856429463172,"Inflammation, Il, Inflammatory, Cytokine"
P2_pandemic_transition,59,42,4806,0.008739076154806492,"Intimate, Intimate Partner, Partner Violence, Coercive"
P2_pandemic_transition,60,36,4806,0.00749063670411985,"Disease, Cardiovascular, Heart, Cardiovascular Disease"
P2_pandemic_transition,61,29,4806,0.006034124011652101,College students & campus prevention
P2_pandemic_transition,62,34,4806,0.0070744902205576365,"Mindfulness, Satisfaction, Couple, Relationship Satisfaction"
