topic,display_name,share_P1,share_P4,absolute_change_P1_to_P4,relative_change_P1_to_P4,count_P1,count_P4,z_stat_P1_vs_P4,p_value_P1_vs_P4,kendall_tau,kendall_p,mk_trend,theil_sen_slope_per_year,share_P1_pre_pandemic,share_P2_pandemic_transition,share_P3_post_pandemic,share_P4_recent,p_adj_P1_vs_P4,prevalence_class
83,"Experience Adverse, Household Dysfunction, Capital, Deviant",0.004744333157617291,0.004117833386126069,-0.0006264997714912216,-0.13205222961320526,9,13,0.32758788753746526,0.743223281373532,-0.23809523809523814,0.5619047619047619,stable,-0.0004152005460698355,0.004744333157617291,0.00686641697877653,0.006641760066417601,0.004117833386126069,0.8918679376482384,stable
51,"Disclosure, Disclose, Csa, Tell",0.009488666315234581,0.008552423186569529,-0.0009362431286650524,-0.0986696230598669,18,27,0.34308003504465867,0.7315382503620202,-0.23809523809523814,0.5619047619047619,stable,-0.00011600282118861122,0.009488666315234581,0.008114856429463172,0.007471980074719801,0.008552423186569529,0.8918679376482384,stable
58,"Inflammation, Il, Inflammatory, Cytokine",0.012124406958355299,0.0066518847006651885,-0.00547252225769011,-0.4513641183842669,23,21,2.027827043527053,0.04257790323329402,-0.23809523809523814,0.5619047619047619,stable,-0.000555524621469905,0.012124406958355299,0.008114856429463172,0.007056870070568701,0.0066518847006651885,0.26658850911528287,stable
56,"Polyvictimization, Victimization Experience, Type Victimization, Violent Victimization",0.005798629414865577,0.007602153943617358,0.001803524528751781,0.3110260028220117,11,24,-0.7486313475968582,0.4540794326514761,-0.23809523809523814,0.5619047619047619,stable,-0.0005353364728364727,0.005798629414865577,0.009987515605493134,0.0072644250726442506,0.007602153943617358,0.7438929378273725,stable
89,Adverse childhood experiences (ACE),0.0063257775434897206,0.005068102629078239,-0.0012576749144114817,-0.19881744271988175,12,16,0.5832660736850162,0.5597141974389501,-0.33333333333333337,0.3813492063492063,stable,-0.00042871816246632026,0.0063257775434897206,0.00478568456096546,0.006434205064342051,0.005068102629078239,0.800260014569074,stable
34,"Violence Exposure, Genderbased, Genderbased Violence, Exposure Violence",0.009488666315234581,0.009502692429521698,1.4026114287116545e-05,0.0014781966001477826,18,30,-0.00497805748208334,0.9960281011969045,-0.33333333333333337,0.3813492063492063,stable,-0.0008674497831007173,0.009488666315234581,0.010611735330836454,0.009755085097550851,0.009502692429521698,0.9960281011969045,stable
22,"Rape, Perpetrator, Assault, Myth",0.014760147601476014,0.011719987329743428,-0.003040160271732586,-0.20597085840988272,28,37,0.9287987544351272,0.35299339010031927,-0.33333333333333337,0.3813492063492063,stable,-0.0004374327026611291,0.014760147601476014,0.014565126924677487,0.010792860107928601,0.011719987329743428,0.7035052389168164,stable
11,"Cortisol, Hpa, Axis, Hpa Axis",0.024775962045334738,0.011719987329743428,-0.01305597471559131,-0.5269613624569514,47,37,3.5154428181226836,0.00043902129118000843,-0.4285714285714286,0.2388888888888889,stable,-0.0022281931811979293,0.024775962045334738,0.018726591760299626,0.014321295143212951,0.011719987329743428,0.008429208790656163,declining
8,"Worker, Protection, Social Work, Social Worker",0.02161307327358988,0.018688628444726005,-0.002924444828863875,-0.13530906927694564,41,59,0.7228596891598719,0.4697660915243902,-0.4285714285714286,0.2388888888888889,stable,-0.00034052598076197635,0.02161307327358988,0.015605493133583021,0.018887505188875053,0.018688628444726005,0.7516257464390244,stable
40,"Depression Anxiety, Anxiety Depression, Anxiety Depressive, Trait Anxiety",0.01107011070110701,0.007285397529299968,-0.003784713171807042,-0.34188575651990283,21,23,1.4024143457797087,0.16079155192279782,-0.4285714285714286,0.2388888888888889,stable,-0.0007237126006904487,0.01107011070110701,0.007906783187682065,0.010792860107928601,0.007285397529299968,0.5278615340284502,stable
24,"Interviewer, Forensic Interview, Investigative, Forensic",0.0158144438587243,0.011403230915426037,-0.004411212943298264,-0.27893569844789357,30,36,1.337554257470342,0.1810417841297478,-0.4285714285714286,0.2388888888888889,stable,-0.0005400860767669959,0.0158144438587243,0.012900540990428632,0.011830635118306352,0.011403230915426037,0.5278615340284502,stable
84,"Cortical, Matter, Thickness, Cortical Thickness",0.006852925672113864,0.007285397529299968,0.00043247185718610446,0.06310762408323387,13,23,-0.17702306161770223,0.8594902750954361,-0.4285714285714286,0.2388888888888889,stable,-0.0004024951042955545,0.006852925672113864,0.005409904286308781,0.0049813200498132005,0.007285397529299968,0.959431004757696,stable
